ShowGUID,ShowName,ShowDate,Location,ArchiveURL
725431b8-e510-4d82-8153-5efc79b7707f,CITRUS SERIES II,,"Jan 13, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
39197196-fdbc-46ea-8c35-1fd83102a11e,AGS JANUARY VHSA SHOW,,"Jan 10, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
75eefb78-91cb-4f1e-bd5f-b122f0b4472b,THE BARRACKS JANUARY II,,"Jan 08, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
618e18ea-cfd3-46fa-a1a8-c0bc3c76e33c,PENSACOLA WINTER PREMIER I,,"Jan 07, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
b2b1829e-8865-47da-8d8f-e0c83fa5f530,CITRUS SERIES I,,"Jan 06, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
f923649c-1b87-4e2d-a73e-28b1f43ccbb3,THE BARRACKS JANUARY I,,"Jan 02, 2015",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
c63d81e5-124c-4711-94fa-823cac1dbcb1,RALEIGH INDOORS HOLIDAY CLASSIC,,"Dec 28, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
edbb4332-6a49-4fda-96f6-5f71fb545338,AMAZING GRACE STABLE VHSA ASSOCIATE CHRISTMAS SHOW,,"Dec 27, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
8ad841d0-388a-4485-b413-d7006a493fae,OLD SALEM 2014 DEC,,"Dec 23, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
d1dcb0fd-a834-4b81-8b18-2ad88389f381,JUST FOR FUN DEC & COMBINED TRAINING,,"Dec 20, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
a72467e9-dd3d-4a94-a521-823624e028cd,GARDNERTOWN FARM DECII USEF A SHOW,,"Dec 19, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
4f236d36-81be-4d77-9982-29a283ca08bb,DECEMBER OPEN H/J SCHOOLING SHOW,,"Dec 13, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
eb26d899-4c23-4086-96ad-b0f69f293676,CFI SCEC 12-13-2014,,"Dec 13, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
19bd618f-52f8-4813-9537-9f4c942421b7,PSJ MULLET HALL HOLIDAY CLASSIC,,"Dec 13, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
723f0e0f-9067-4467-be2a-eed9b7cb74dc,GARDNERTOWN FARM DEC I,,"Dec 12, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
1db9b6e3-870e-46b2-bb07-81fd4a1808f4,DECEMBER CLASSIC II,,"Dec 11, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
2b883e58-b5da-4492-a731-e86f7735eff7,THE BARRACKS DECEMBER,,"Dec 11, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
091f5a5c-c2d8-453b-9611-a40726036ead,EMERALD COAST CLASSIC II,,"Dec 11, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
c7ee07ae-b29c-4644-ba09-7d5a0c5f55c3,CHRISTMAS SHOW,,"Dec 10, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
a160c150-1f6a-4cc7-9158-89fcd41d8c27,OX RIDGE DECEMBER,,"Dec 06, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
f4f9c265-6607-429f-ad70-e1af079c8557,SCHJA PALMETTO MEDAL & DERBY FINALS,,"Dec 05, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
c032406c-dfa6-441e-afd1-5c1ec1ba23e1,CAROLINA HORSE PARK HOLIDAY CLASSIC,,"Dec 04, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
9adeee27-096c-4639-ae1c-b44f1d13af12,DECEMBER CLASSIC I,,"Dec 04, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
03a3210e-ad11-44f3-8e18-5fada8f53a3b,THANKSGIVING SHOW,,"Dec 03, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
61d7d77e-2d72-45da-b726-08e3d6149457,EMERALD COAST CLASSIC I,,"Dec 03, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
9768d751-41c2-489d-98cf-737a164d541b,TB SCHOOLING SHOW,,"Nov 30, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
326027a7-3057-4469-861e-c7dc983f3697,OLD SALEM NOVEMBER 29,,"Nov 29, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
6c83a2ca-c82e-467d-959d-8d637dadb79f,OLD SALEM FARM NOV 22-23,,"Nov 22, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
0b15ba3f-62ee-42ec-bac0-d2f50f79059a,FALL HARVEST/FALL FINALE HORSE SHOW,,"Nov 22, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
ccb5fa45-8f20-4a96-b85c-8401bdc43519,CAROLINA SUMMER CIRCUIT CHAMPIONSHIP HORSE SHOW,,"Nov 22, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
28c21fda-9cda-4123-a634-bf058cd63efd,COASTAL HUNTER JUMPER NOV,,"Nov 22, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
aa5d671a-2543-4708-bbf0-0fe65129b64e,NOVEMBER OPEN H/J SHOW II,,"Nov 22, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
ced7eadc-652c-40e0-a1ca-af68c1a795d3,2014 HJEO FALL FINALE,,"Nov 20, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
ab1c0274-3314-4d2d-81ca-0210f0ffe75c,OLD SALEM FARM NOV 16,,"Nov 16, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
6f4f1987-53ab-40d1-93c7-e6451a4004da,JUST FOR FUN NOVEMBER,,"Nov 16, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
f5a02998-91bf-414e-8243-98957eb04aa8,NQHL DERBY FINALS - AT AQHA WORLD,,"Nov 16, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
71777095-b648-4f04-8990-f39b638f1b8c,GARDNERTOWN FARM USEF C RATED NOV II HORSE SHOW,,"Nov 15, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
b702d9fa-3555-4055-b300-361bc2d12a1f,IM NOT GOING TO THE FINALS HORSE SHOW,,"Nov 15, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
269af0fa-85d2-4aea-b9fa-2c540dc65e3f,GHJA GRAND FINALE AND FINALS,,"Nov 14, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
a109ee9b-c043-4548-99ca-ed9dea199903,VHSA ASSOCIATES CHAMPIONSHIP HORSE SHOW,,"Nov 13, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
92afc41d-ec7c-404e-8eb2-0fc449725995,FOX LEA FARM NOVEMBER NATIONAL,,"Nov 13, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
55753249-fc26-48e3-9f6f-96e45993cdf7,FINAL CHASE,,"Nov 12, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
d74ebd61-e455-4a32-8dda-e53e35a7c351,ATLANTA FALL CLASSIC II,,"Nov 12, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
5a6781a8-da42-43d1-ae0c-fbd3c972f93a,UPHA AMERICAN ROYAL NATIONAL CHAMPIONSHIP,,"Nov 11, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
abbcf755-6e21-461e-b449-62bd82c335f8,STEPPING STONE FARM NOV 9,,"Nov 09, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
fc0a5a8c-9da0-4c7e-a426-0c9d467728fd,"OLD SALEM FARM NOV 8, 2014",,"Nov 08, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
c9fcac3e-8532-4571-9ae1-6a622a153bcc,LAWTON STABLES FALL CHC SHOW,,"Nov 08, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
ab6e4812-b565-4059-a20f-e79a6bb0591f,CAMDEN FALL CALSSIC,,"Nov 08, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
06b0d1e4-0646-4432-857d-83cd094a93b0,2014 CLEMSON FALL CLASSIC HORSE SHOW,,"Nov 07, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
59c369c5-6c94-424a-a725-a7e85db98672,SWVHJA ANNUAL HORSE SHOW,,"Nov 07, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
45244cef-176f-4bb6-9b54-df1892053ce7,HARVEST TIME,,"Nov 06, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
b2859516-2a56-457c-8998-849f28f40fbc,GSEC AUTUMN CLASSIC,,"Nov 05, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
9c077833-79a6-46f6-af5d-77d438d2dd53,TUCSON FALL CLASSIC - WEEK 2,,"Nov 05, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
e0de1c3b-f8aa-4f39-8e4c-532ef57c21d9,ATLANTA FALL CLASSIC I,,"Nov 05, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
90f20dc0-2bbd-465e-917b-c8716f870194,JUMP FOR THE CHILDREN 2014,,"Nov 04, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
2a7e472d-35be-4923-9806-ec6e1b4a6221,FIRESIDE FARM CLASSIC,,"Nov 02, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
30c6d09e-06a8-4674-91c7-1ae77cc3df55,"NOV 2, 2014(CDHJC/TCRA)",,"Nov 02, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
c4229ef1-faab-4719-b5b9-48a6b624d4ff,SWEET BRIAR FALL HORSE SHOW,,"Nov 02, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
0e75acb0-a7ad-4c27-af92-6b7ec506503e,HALLOWEEN HARVEST,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
d47469b4-97df-48ab-a29b-ff7ca384072e,GARDNERTOWN FARM USEF C RATED NOV I HORSE SHOW,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
3c6a97af-a63f-4622-a525-4878e4a17e2e,TRIMBLES RIDGE HORSE SHOW,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
718c7661-8b97-4cf7-b2f5-9f16f23afc67,CADENCE FALL FEST SCHOOLING SHOW,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
3c54edfa-606b-4be3-8fed-6289d13f2ecb,NOVEMBER OPEN H/J SHOW,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
6df4f931-4666-4909-a17f-9b63772b59d7,HORSE SHOW VENTURES NOVEMBER,,"Nov 01, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
2c4e4bff-2c45-4df3-9178-cff16e18a40d,PSJ MEDAL FINALS,,"Oct 31, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
4b71ffcc-f2cc-4b01-b773-e5d9e82ebc38,MEGFORD 4,,"Oct 31, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
1b837a8d-18a3-471e-ae11-fbfa0e98e70d,TRIANGLE FARMS C FALL INDOORS,,"Oct 31, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
44f67012-36e6-4743-bf07-eede869619b4,SHJG 2014 FINALS,,"Oct 31, 2014",https://web.archive.org/web/20141230063824/http://horseshowsonline.com/ShowSelector.aspx
00cd1da8-a47c-4528-ba36-ea3fb10a1a83,TRYON FOOTHILLS CLASSIC,,"Oct 29, 2014",https://web.archive.org/web/20141113161735/http://horseshowsonline.com/ShowSelector.aspx
7124ad9b-b8d8-4e8b-870d-94850b15d62f,TUCSON FALL FESTIVAL - WEEK 1,,"Oct 29, 2014",https://web.archive.org/web/20141113161735/http://horseshowsonline.com/ShowSelector.aspx
5d252a24-37b7-476b-8eee-f604598da920,DALLAS HARVEST,,"Oct 29, 2014",https://web.archive.org/web/20141113161735/http://horseshowsonline.com/ShowSelector.aspx
b0933a95-ed4b-4a7b-a46f-50545dde2d85,JUST FOR FUN OCTOBER,,"Oct 26, 2014",https://web.archive.org/web/20141113161735/http://horseshowsonline.com/ShowSelector.aspx
37ef52d7-c55a-4116-b870-bb6bb2ac7247,DOGWOOD HUNTER JUMPER CIRCUIT - ESH - OCT 2014,,"Oct 25, 2014",https://web.archive.org/web/20141113161735/http://horseshowsonline.com/ShowSelector.aspx
